;oset1;oset2;rus1;rus2;proximity;synonym
0;фыдæптыккон;фыццагон;антикварный старинный;антикварный старинный;0.47165122628211975;1
1;ахъуызæн;рахизæн;лазейка лаз;лазейка лаз;0.4850462079048157;1
2;æвзаргæ;анæфау;хороший неплохой;хороший неплохой;0.14061158895492554;1
3;æлхыскъ ныхас;хынджылæг;на;шутовство паясничанье;0.3174070417881012;1
4;къленц митæ кæнын;хи æвдисын;рисоваться позировать;рисоваться позировать;0.314079612493515;1
5;карзæй;тызмæг;требовательно взыскательно;сердито гневно;0.2886049449443817;1
6;аразгæ;тыхарæзт;неестественно ненатурально;неестественно ненатурально;0.2680363655090332;1
7;адæм;кусæнгарз;человечество люди;аппарат;0.17025011777877808;1
8;буцахуыр;буцхаст;избалованный;хопеный выхоленный;0.1503547728061676;1
9;гыццылы;сабийы;детский ребяческий;детский ребяческий;0.3724883794784546;1
10;дæргъвæтиндзинад;даргъад;длительность продолжительность;длительность продолжительность;0.3058338463306427;1
11;спæррæст кæнын;стæхын;взлететь подняться;взлететь подняться;0.22530263662338257;1
12;къæбæлдзыгны сæй;хъал «ястыр ныхасæй;напыщенно ходульно;напыщенно ходульно;0.635577380657196;1
13;æвæгæсæг;дзæгъæл;заброшенный;заброшенный;0.3678184151649475;1
14;бацауæрдын;фæтæригъæд казнын;пощадить пожалеть;пощадить пожалеть;0.43105581402778625;1
15;æмбарынгæнæн;фиппаинаг;комментарий пояснение;комментарий пояснение;0.30776965618133545;1
16;базонын;сæргом кæнын;убедиться прийти к убеждению;разгадать угадать;0.3714277744293213;1
17;лæмарын;цъæл кæнын;давить;давить;0.5330302715301514;1
18;разуæгдзинад;хуымæтæгдзинад;легкость невесомость;легкость невесомость;0.8954821228981018;1
19;азгъорын;рацæуын;сбегать слетать;потечь заструиться;0.23775716125965118;1
20;æнæххæст;æрдæгконддзинад;незаконченность незавершенность;незаконченность незавершенность;0.28876829147338867;1
21;аскъæрын;ныббындз уæвын;убежать спастись бегством;убежать спастись бегством;0.6196250319480896;1
22;аэнæмæнгæй;хъзвуы;надо нужно;надо нужно;-0.027767198160290718;1
23;æвæрæнтæ кæнын;æвæрын;копить накапливать;упаковывать паковать;0.5475510954856873;1
24;æнæивгæ;алыхаттон;постоянный;постоянный;0.29007941484451294;1
25;бесподобный;чудесный;изумительный несравненный;изумительный несравненный;0.8821951746940613;1
26;къæйныхдзинад;уæгъдибардзинад;фамильярность бесцеремонность;фамильярность бесцеремонность;0.9150742292404175;1
27;гомгæрццæй;мадардæй;голышом нагишом;голышом нагишом;0.5935354232788086;1
28;евзæргæнæг;лæбурæг;бандит грабитель;завоеватель;0.11999322474002838;1
29;ахицæнтæ уæвын;фæхицæн уæвын;разделиться распасться;разминуться разойтись;0.8066897392272949;1
30;сæмбæлын;фенын;увидеться встретиться;увидеться встретиться;0.23465308547019958;1
31;зæгъæн;уæвæн;допустимый дозволенный;допустимый дозволенный;0.3265652060508728;1
32;абон;ныртæккæйырæстæг;теперь сейчас;теперь сейчас;0.18318790197372437;1
33;барæныл барын;тæразыл æвæрын;взвешивать;взвешивать;0.6427385807037354;1
34;æнусон;рагон;извечный вечный;давний старый;0.2949373424053192;1
35;алфæмбылæй;хæстæг;близко недалеко;близко недалеко;0.22558605670928955;1
36;хæлхъой;хъомпал;переполох;переполох;-0.09523505717515945;1
37;зардæрард;разæнгарддзинад;энтузиазм воодушевление;энтузиазм воодушевление;0.07810643315315247;1
38;хылæргом;хылкъах;сварливый вздорный;скандалист дебориш;0.45741793513298035;1
39;аэамдымбыл;тымбылæгхуыз;круглый шарооборазный;круглый шарооборазный;0.8599088788032532;1
40;алцы;цавæрфæнды;любой;любой;0.297371506690979;1
41;разæнгарддзинад;узэлмонцады хуыэтæ;энтузиазм воодушевление;вдохновение;0.23938049376010895;1
42;ай-гъайдæр;кæй зæгъын æй хъæуы;телеграмма депеша;телеграмма депеша;0.24068233370780945;1
43;фæлывд;цæстфæлдахæг;лгун лжец;обманщик плут;0.07681833207607269;1
44;зæрдæйы ахаст;зондахаст;характер;характер;0.6686118841171265;1
45;æнæрцæф;фыдæбоны;бедовый;бедовый;0.5537635684013367;1
46;æгæрондзинад;æнæкæрондзинад;безграничность беспредельность;безграничность беспредельность;0.9600144624710083;1
47;æнаив;фыдуынд;пошлый вульгарный;грубо;0.27515390515327454;1
48;сабибонтæ;сабидзинæд;детство малолетство;детство малолетство;0.4384424090385437;1
49;хæлын;цауддæр кæнын;деградировать прийти  в упадок;деградировать прийти  в упадок;0.3277273178100586;1
50;бур;хъæмпхуыз;желтый;желтый;0.6650618314743042;1
51;гуыбындзæл;гуыбынмæгæс;обжора чревоугодник;обжора чревоугодник;0.8460708856582642;1
52;ныйилæлæй кæнын;нырдиаг кæнын;крикнуть издать крик;закричать поднять крик;0.6416099667549133;1
53;сæрхъуаг;хъуаг;глупец болван;глупец болван;0.4394262731075287;1
54;гомгæрццæй;мадард бæгънæгæй;голышом нагишом;голышом нагишом;0.3974974453449249;1
55;ауадзын;нæ бавæрын;упустить пропустить;упустить пропустить;0.2803245186805725;1
56;æппарын;пырх кæнын;разбрасывать раскидывать;сбрызгивать брызгать;0.5198950171470642;1
57;бафыдæбон кæнын;сзын кæнын;потрудиться затруднить себя;потрудиться затруднить себя;0.6763429641723633;1
58;великолепный;роскошный;изумительный несравненный;изумительный несравненный;0.5377323627471924;1
59;кæсын цагъар;хъуыдыкæнын;предполагать;предполагать;0.2798108756542206;1
60;æнгæс уæвын;халдих уæвын;походить быть похожим;походить быть похожим;0.522283136844635;1
61;зыддзинад;хенæфсис;жадность;жадность;0.1385246217250824;1
62;æнæджелбетт;гуымиры;невежа хам;невежа хам;0.3387119174003601;1
63;æмхъæлæсдзинад;демуддзинад;единодушие единомыслие;единодушие единомыслие;0.8273292779922485;1
64;мæнгдзурæг;фæлитой;лгун лжец;хитрый;0.14001835882663727;1
65;æнæуаг дзыхæй сдзурын;бафхæрын;нагрубить наговорить глупостей;нагрубить наговорить глупостей;0.5623675584793091;1
